PIT,Pittsburgh Pirates,1891,2019,129
PHI,Philadelphia Phillies,1890,2019,128
CIN,Cincinnati Reds,1890,2019,124
STL,St. Louis Cardinals,1900,2019,120
DET,Detroit Tigers,1901,2019,119
CHW,Chicago White Sox,1901,2019,119
CHC,Chicago Cubs,1903,2019,117
BOS,Boston Red Sox,1908,2019,112
NYY,New York Yankees,1913,2019,107
CLE,Cleveland Indians,1915,2019,105
SFG,New York Giants,1885,1957,73
BAL,Baltimore Orioles,1954,2019,66
SFG,San Francisco Giants,1958,2019,62
LAD,Los Angeles Dodgers,1958,2019,62
MIN,Washington Senators,1901,1960,60
MIN,Minnesota Twins,1961,2019,59
NYM,New York Mets,1962,2019,58
HOU,Houston Astros,1965,2019,55
ATL,Atlanta Braves,1966,2019,54
OAK,Philadelphia Athletics,1901,1954,54
OAK,Oakland Athletics,1968,2019,52
BAL,St. Louis Browns,1902,1953,52
SDP,San Diego Padres,1969,2019,51
KCR,Kansas City Royals,1969,2019,51
MIL,Milwaukee Brewers,1970,2019,50
TEX,Texas Rangers,1972,2019,48
TOR,Toronto Blue Jays,1977,2019,43
SEA,Seattle Mariners,1977,2019,43
ATL,Boston Braves,1912,1952,36
WSN,Montreal Expos,1969,2004,36
ANA,California Angels,1965,1996,32
LAD,Brooklyn Dodgers,1911,1957,28
COL,Colorado Rockies,1993,2019,27
ATL,Boston Beaneaters,1883,1906,24
ARI,Arizona Diamondbacks,1998,2019,22
FLA,Florida Marlins,1993,2011,19
BLO,Baltimore Orioles,1882,1899,18
LAD,Brooklyn Robins,1914,1931,18
STL,St. Louis Browns,1883,1898,16
ANA,Los Angeles Angels of Anaheim,2005,2019,15
WSN,Washington Nationals,2005,2019,15
LOU,Louisville Colonels,1885,1899,15
CHC,Chicago White Stockings,1876,1889,14
OAK,Kansas City Athletics,1955,1967,13
LAD,Brooklyn Superbas,1899,1913,13
ATL,Milwaukee Braves,1953,1965,13
CLE,Cleveland Naps,1903,1914,12
TBD,Tampa Bay Rays,2008,2019,12
CLV,Cleveland Spiders,1889,1899,11
TEX,Washington Senators,1961,1971,11
TBD,Tampa Bay Devil Rays,1998,2007,10
NYY,New York Highlanders,1903,1912,10
PHA,Philadelphia Athletics,1882,1890,9
PIT,Pittsburg Alleghenys,1882,1890,9
CIN,Cincinnati Red Stockings,1882,1889,8
PRO,Providence Grays,1878,1885,8
WAS,Washington Senators,1892,1899,8
CHC,Chicago Colts,1890,1897,8
FLA,Miami Marlins,2012,2019,8
DTN,Detroit Wolverines,1881,1888,8
ANA,Anaheim Angels,1997,2004,8
PHI,Philadelphia Quakers,1883,1889,7
BOS,Boston Americans,1901,1907,7
BUF,Buffalo Bisons,1879,1885,7
ATL,Boston Red Caps,1876,1882,7
LAD,Brooklyn Bridegrooms,1888,1898,6
CIN,Cincinnati Redlegs,1954,1959,6
CBL,Cleveland Blues,1879,1884,6
CNR,Cincinnati Reds,1876,1880,5
NYP,New York Metropolitans,1883,1887,5
ATL,Boston Bees,1936,1940,5
CHC,Chicago Orphans,1898,1902,5
NNA,New York Mutuals,1871,1875,5
BNA,Boston Red Stockings,1871,1875,5
LAD,Brooklyn Grooms,1891,1895,5
PNA,Philadelphia Athletics,1871,1875,5
ANA,Los Angeles Angels,1961,1964,4
WNL,Washington Nationals,1886,1889,4
TRT,Troy Trojans,1879,1882,4
ATL,Boston Doves,1907,1910,4
BRA,Brooklyn Atlantics,1872,1875,4
PWS,Philadelphia Whites,1873,1875,3
HOU,Houston Colt .45's,1962,1964,3
LAD,Brooklyn Grays,1885,1887,3
CLS,Columbus Solons,1889,1891,3
LOU,Louisville Eclipse,1882,1884,3
CNA,Chicago White Stockings,1871,1875,3
WOR,Worcester Ruby Legs,1880,1882,3
IND,Indianapolis Hoosiers,1887,1889,3
BLC,Baltimore Canaries,1872,1874,3
SLM,St. Louis Maroons,1884,1886,3
BRS,Boston Reds,1890,1891,2
KCP,Kansas City Packers,1914,1915,2
KCC,Kansas City Cowboys,1888,1889,2
CFC,Cleveland Forest Citys,1871,1872,2
BLT,Baltimore Terrapins,1914,1915,2
PBS,Pittsburgh Rebels,1914,1915,2
HNA,Hartford Dark Blues,1874,1875,2
NYY,Baltimore Orioles,1901,1902,2
SBS,St. Louis Brown Stockings,1876,1877,2
SLI,St. Louis Terriers,1914,1915,2
PHQ,Philadelphia Athletics,1890,1891,2
LGR,Louisville Grays,1876,1877,2
BTT,Brooklyn Tip-Tops,1914,1915,2
PHI,Philadelphia Blue Jays,1943,1944,2
SFG,New York Gothams,1883,1884,2
CLV,Cleveland Blues,1887,1888,2
CBK,Columbus Buckeyes,1883,1884,2
HAR,Hartford Dark Blues,1876,1877,2
TRO,Troy Haymakers,1871,1872,2
OLY,Washington Olympics,1871,1872,2
CLI,Cleveland Infants,1890,1890,1
IBL,Indianapolis Blues,1878,1878,1
CEN,Philadelphia Centennials,1875,1875,1
ROK,Rockford Forest Citys,1871,1871,1
CLE,Cleveland Blues,1901,1901,1
PBB,Pittsburgh Burghers,1890,1890,1
STL,St. Louis Perfectos,1899,1899,1
MAN,Middletown Mansfields,1872,1872,1
CKK,Cincinnati Kelly's Killers,1891,1891,1
WBL,Washington Blue Legs,1873,1873,1
NAT,Washington Nationals,1872,1872,1
LAD,Brooklyn Atlantics,1884,1884,1
WAS,Washington Statesmen,1891,1891,1
BFL,Buffalo Blues,1915,1915,1
CHH,Chicago Whales,1915,1915,1
MLU,Milwaukee Brewers,1884,1884,1
STL,St. Louis Brown Stockings,1882,1882,1
TLM,Toledo Maumees,1890,1890,1
NYU,New York Mutuals,1876,1876,1
NYI,New York Giants,1890,1890,1
KEK,Fort Wayne Kekiongas,1871,1871,1
ATL,Boston Rustlers,1911,1911,1
SYS,Syracuse Stars,1890,1890,1
IHO,Indianapolis Hoosiers,1884,1884,1
MIL,Seattle Pilots,1969,1969,1
SYR,Syracuse Stars,1879,1879,1
NEW,Newark Pepper,1915,1915,1
RES,Elizabeth Resolutes,1873,1873,1
NHV,New Haven Elm Citys,1875,1875,1
WNT,Washington Nationals,1875,1875,1
CHH,Chicago Chi-Feds,1914,1914,1
BFB,Buffalo Bisons,1890,1890,1
KCU,Kansas City Cowboys,1884,1884,1
RIC,Richmond Virginians,1884,1884,1
BWW,Brooklyn Ward's Wonders,1890,1890,1
WES,Keokuk Westerns,1875,1875,1
CPI,Chicago/Pittsburgh (Union League),1884,1884,1
BRG,Brooklyn Gladiators,1890,1890,1
STP,St. Paul White Caps,1884,1884,1
COR,Cincinnati Outlaw Reds,1884,1884,1
ATH,Philadelphia Athletics,1876,1876,1
BAL,Milwaukee Brewers,1901,1901,1
BFL,Buffalo Buffeds,1914,1914,1
MLG,Milwaukee Grays,1878,1878,1
BRD,Boston Reds,1884,1884,1
ALT,Altoona Mountain City,1884,1884,1
ROC,Rochester Broncos,1890,1890,1
WST,Washington Nationals,1884,1884,1
NEW,Indianapolis Hoosiers,1914,1914,1
ECK,Brooklyn Eckfords,1872,1872,1
WNA,Washington Nationals,1884,1884,1
KCN,Kansas City Cowboys,1886,1886,1
BLU,Baltimore Monumentals,1884,1884,1
WIL,Wilmington Quicksteps,1884,1884,1
SNA,St. Louis Brown Stockings,1875,1875,1
SLR,St. Louis Red Stockings,1875,1875,1
MAR,Baltimore Marylands,1873,1873,1
PHK,Philadelphia Keystones,1884,1884,1
CHP,Chicago Pirates,1890,1890,1
TOL,Toledo Blue Stockings,1884,1884,1
MLA,Milwaukee Brewers,1891,1891,1
CLE,Cleveland Bronchos,1902,1902,1
